A00177	A11218	Phy Div	Lawrence Berkeley National Laboratory, Physics Division
A00177	A11211	Chem Div	Lawrence Berkeley National Laboratory, Materials and Chemical Sciences Division
	A00178	Siemens AG	Siemens AG, Germany
	A00179	Andrews U	Andrews University, Michigan
	A00180	Lehigh U	Lehigh University, Pennsylvania
	A00181	Ferris St U	Ferris State University, Michigan
	A00182	MT St U	Montana State University System
A00182	A00183	Billings	Montana State University, Billings
A00182	A00184	Bozeman	Montana State University, Bozeman
	A00185	U IN Bloomington	Indiana University, Bloomington
A00185	A00186	Dep Geo	Indiana University, Department of Geological Sciences
A00185	A11094	Dep Ast	Indiana University, Department of Astronomy
A00185	A11095	Dep Phy	Indiana University, Department of Physics
	A00187	City Coll Birmingham	City College Birmingham, UK
	A00188	Aston U	Aston University, UK
	A00189	U Birmingham	University of Birmingham, UK
A00189	A00190	Sch Phy Ast	University of Birmingham, School of Physics and Astronomy
A00189	A00191	Sch Geog Ear Env Sci	University of Birmingham, School of Geography, Earth and Environmental Sciences
	A00192	Birmingham S Coll	Birmingham Southern College, UK
	A00193	UK Mnstry Def	UK Ministry of Defense
A00193	A00194	AWE	Atomic Weapons Establishment, UK
A00193	A11765	DSIR	Department of Scientific and Industrial Research, UK
A00193	A11766	Ryl Radar Est	Royal Radar Establishment, UK
A00193	A11767	Ryl Aero Est	Royal Aerospace Establishment, UK
	A00195	VA Tech	Virginia Polytechnic Institute and State University
A00195	A11807	Dep Geos	Virginia Tech, Department of Geosciences
A00195	A11808	Dep Phy	Virginia Tech, Department of Physics
	A00196	Simon Fraser U	Simon Fraser University, Canada
	A00197	IL Wesleyan U	Illinois Wesleyan University
	A00198	U IN	Indiana University System
A00198	A00200	Kokomo	Indiana University, Kokomo
A00198	A00201	Gary	Indiana University, Gary
A00198	A00202	S Bend	Indiana University, South Bend
A00198	A00203	SE	Indiana University Southeast
A00198	A01432	IUPUI	Indiana University Purdue University at Indianapolis
	A00204	IUP	Indiana University of Pennsylvania
	A00205	Bloomsburg U PA	Bloomsburg University of Pennsylvania
	A00206	FL Atl U	Florida Atlantic University
	A00208	Appalachian St U	Appalachian State University, North Carolina
	A00209	Tufts U	Tufts University, Massachusetts
A00209	A00210	Sch Eng	Tufts University, School of Engineering
A00209	A11005	Dep Phy Ast	Tufts University, Department of Physics and Astronomy
	A00211	Harvard U	Harvard University, Massachusetts
A00211	A00212	Eng App Sci	Harvard University, Engineering and Applied Sciences
A00211	A00213	Blue Hill Met Obs	Blue Hill Meteorological Observatory
A00211	A00214	Dep Chem	Harvard University, Department of Chemistry
A00211	A00215	Med Sch	Harvard Medical School
A00211	A00216	Dep Phy	Harvard University, Department of Physics
A00211	A00217	Radcliffe IAS	Harvard Radcliffe Institute for Advanced Study
A00211	A01400	CfA	Harvard Smithsonian Center for Astrophysics
A00211	A05729	Broad Inst	Harvard-MIT Broad Institute, Massachusetts
A00211	A05874	MADRC	Massachusetts Alzheimer's Disease Research Center
A00211	A06034	CUA	Harvard-MIT Center for Ultracold Atoms
A00211	A11034	HCO	Harvard College Observatory
A00211	A11035	Ctr Ear Plan Phy	Harvard University Center for Earth and Planetary Physics
A00211	A11036	Dep Ast	Harvard University, Department of Astronomy
	A00219	Wheelock Coll	Wheelock College, Massachusetts
	A00220	BU	Boston University, Massachusetts
A00220	A00221	Dep Geog	Boston University, Department of Geography
A00220	A00222	Ctr Rem Sen	Boston University, Center for Remote Sensing
A00220	A00223	Dep Phy	Boston University, Department of Physics
A00220	A00224	Dep Ast	Boston University, Department of Astronomy
A00220	A00225	Dep Ear Sci	Boston University, Department of Earth Sciences
	A00226	Northeastern U	Northeastern University, Massachusetts
A00226	A00227	Dep Phy	Northeastern University, Department of Physics
	A00228	Suffolk U	Suffolk University, Massachusetts
A00228	A00229	Madrid	Suffolk University, Madrid
	A00230	UMass	University of Massachusetts System
A00230	A00231	Amherst	UMass Amherst
A00230	A00232	Boston	UMass Boston
A00230	A00233	Dartmouth	UMass Dartmouth
A00230	A00234	Lowell	UMass Lowell
A00230	A05878	Med Sch	UMass Medical School, Worcester
A00230	A06602	FCAD	Five College Astronomy Department
A00230	A11027	FCRAO	Five College Radio Astronomy Observatory
	A00235	Brigham Wmns Hosp	Brigham and Womens Hospital, Massachusetts
A00235	A05874	MADRC	Massachusetts Alzheimer's Disease Research Center
